Wavelength (nm),%T
529,0.089617628
528,0.096026728
527,0.102848352
526,0.109642045
525,0.117014383
524,0.124795928
523,0.13259583
522,0.140613312
521,0.148968863
520,0.157464493
519,0.165899559
518,0.174714752
517,0.183581372
516,0.192440807
515,0.201449193
514,0.210182753
513,0.219467947
512,0.22830892
511,0.237314805
510,0.24624321
509,0.255117656
508,0.264039245
507,0.272783857
506,0.281542744
505,0.290115825
504,0.298644932
503,0.30684103
502,0.315342368
501,0.323384554
500,0.331313462
499,0.339418598
498,0.346953451
497,0.354560608
496,0.361913205
495,0.369354715
494,0.376659695
493,0.383387363
492,0.390222332
491,0.396641367
490,0.403394348
489,0.409588618
488,0.415936373
487,0.422098095
486,0.427806789
485,0.433802778
484,0.439262686
483,0.444581599
482,0.450107288
481,0.455334569
480,0.460175381
479,0.46520756
478,0.47001054
477,0.474401286
476,0.479199051
475,0.483382626
474,0.487596723
473,0.49132981
472,0.495624229
471,0.499601648
470,0.503039422
469,0.507050022
468,0.510241166
467,0.513805128
466,0.517016733
465,0.519876782
464,0.523117601
463,0.525961065
462,0.528800281
461,0.531232725
460,0.53376868
459,0.536656355
458,0.539652784
457,0.541821179
456,0.543630053
455,0.545639421
454,0.546718958
453,0.548827501
452,0.550654058
451,0.553258341
450,0.554499219
449,0.555775009
448,0.557377765
447,0.558619437
446,0.559990075
445,0.56100516
444,0.56211655
443,0.56322526
442,0.563574634
441,0.565055973
440,0.565658864
439,0.566171963
438,0.567163468
437,0.567582674
436,0.568326663
435,0.568668248
434,0.569481937
433,0.569363483
432,0.570207225
431,0.569995976
430,0.570305453
429,0.570026079
428,0.570033568
427,0.569802388
426,0.569145459
425,0.569135585
424,0.568903259
423,0.568332671
422,0.567339159
421,0.56749005
420,0.566530312
419,0.565488789
418,0.56513469
417,0.564220133
416,0.562923152
415,0.562136956
414,0.560822841
413,0.559796253
412,0.558347908
411,0.557440952
410,0.554920227
409,0.554241175
408,0.552458871
407,0.550866627
406,0.548224887
405,0.546462013
404,0.543994262
403,0.542138122
402,0.53953669
401,0.537329413
400,0.534504352
399,0.532068043
398,0.528850127
397,0.525859226
396,0.522742147
395,0.519626446
394,0.516220965
393,0.512885592
392,0.509043832
391,0.505043366
390,0.501257793
389,0.497010883
388,0.492746925
387,0.488412566
386,0.483619668
385,0.47933744
384,0.474246154
383,0.470126469
382,0.46552143
381,0.461788007
380,0.457413957
379,0.454446993
378,0.450788886
377,0.447488702
376,0.44512538
375,0.441810714
374,0.438660734
373,0.435144092
372,0.431526814
371,0.427416591
370,0.42380348
369,0.419669229
368,0.414381053
367,0.409718722
366,0.404735418
365,0.400048421
364,0.394481137
363,0.389234676
362,0.383344277
361,0.377433334
360,0.371828694
359,0.365199625
358,0.358590809
357,0.351930011
356,0.344934494
355,0.337901648
354,0.33048772
353,0.323190503
352,0.315245091
351,0.307087711
350,0.29850805
349,0.289899745
348,0.289573702
347,0.279659231
346,0.269480712
345,0.259424532
344,0.249050047
343,0.237949534
342,0.227699312
341,0.216001493
340,0.204861494
339,0.193998218
338,0.182157736
337,0.1712261
336,0.160338016
335,0.149200553
334,0.139192234
333,0.129229476
332,0.120031998
331,0.111364
330,0.103311477
329,0.096246104
328,0.089320962
327,0.083440978
326,0.078192867
325,0.074163447
324,0.070227659
323,0.067403309
322,0.06523448
321,0.063438049
320,0.061909145
319,0.060466406
318,0.059371281
317,0.058756819
316,0.057630987
315,0.057054793
314,0.055842338
313,0.055818863
312,0.054747583
311,0.054855835
310,0.054468707
309,0.054114055
308,0.053868816
307,0.053763106
306,0.053707561
305,0.053702164
304,0.053305357
303,0.053546391
302,0.053960562
301,0.054051833
300,0.054092595
